Learning Area,Subject,Pathway,Sequence,Level,Achievement Standard
Health and Physical Education,Health and Physical Education,,,Years 3 and 4,"By the end of Year 4, students identify influences that strengthen identities and describe strategies to manage emotions, changes and transitions. They apply skills and strategies to interact respectfully with others. They describe the influences that inclusion and stereotypes have on choices and actions. Students describe and apply protective behaviours and help-seeking strategies to keep themselves and others safe online and offline. They interpret health information to apply strategies to enhance their own and others’ health, safety, relationships and wellbeing. Students apply fundamental movement skills and demonstrate movement concepts across a range of situations. They adapt movement strategies to enhance movement outcomes. Students examine factors that influence participation and propose strategies to incorporate regular physical activity into their own and others’ lives. They demonstrate fair play and inclusion through a range of roles in movement contexts."
Health and Physical Education,Health and Physical Education,,,Years 5 and 6,"By the end of Year 6, students explain how different factors influence identities. They propose strategies to manage emotions, developmental changes and transitions. They propose strategies to demonstrate respect, empathy and inclusion. They explain how stereotypes influence roles and responsibilities. Students explain how communication skills, protective behaviours and help-seeking strategies keep themselves and others safe online and offline. They analyse health information to refine strategies to enhance their own and others’ health, safety, relationships and wellbeing. Students refine and modify movement skills and apply movement concepts across a range of situations. They transfer movement strategies between situations and evaluate the impact on movement outcomes. Students propose strategies to promote physical activity participation that enhance health, fitness and wellbeing. They describe contributions they can make as a group and team member to support fair play and inclusion across a range of movement contexts."
Health and Physical Education,Health and Physical Education,,,Years 7 and 8,"By the end of Year 8, students analyse factors that influence identities, emotions and responses to change, and describe strategies to respond to these influences. They analyse how stereotypes, respect, empathy and valuing diversity influence relationships. Students analyse the effectiveness of assertive communication strategies, protective behaviours and help-seeking strategies applied online and offline. They analyse health information and messages to propose strategies that enhance their own and others’ health, safety, relationships and wellbeing. Students apply and transfer movement skills and movement concepts across a range of situations. They implement and evaluate the effectiveness of movement strategies on movement outcomes. Students propose and evaluate strategies designed to achieve personal health, fitness and wellbeing outcomes. They select, use and refine strategies to support inclusion, fair play and collaboration across a range of movement contexts."
Health and Physical Education,Health and Physical Education,,,Year 9 and 10,"By the end of Year 10, students propose and evaluate personal strategies to manage their identities, emotions and responses to change. They evaluate how attitudes and beliefs about equality, respect, diversity and inclusion influence the nature and quality of relationships. Students propose and justify strategies to manage online and offline situations where their own or others’ health, safety, relationships or wellbeing may be at risk. They synthesise health information from credible sources to propose and justify strategies to enhance their own and others’ health, safety, relationships and wellbeing. Students evaluate and refine their own and others’ movement skills and performances, and apply movement concepts in challenging or unfamiliar situations. They adapt and transfer movement strategies to unfamiliar situations to achieve successful outcomes. Students propose and evaluate community-based physical activity interventions designed to improve the health, fitness and wellbeing of themselves and others. They apply and evaluate leadership approaches, collaboration strategies and ethical behaviours across a range of movement contexts."
Languages,Arabic,,F–10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create Arabic texts, with support. They identify that Arabic and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,Arabic,,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Arabic language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts. They copy the letters and vowel marks of the Arabic alphabet to mark words.</p>
<p>Students imitate the sounds and rhythms of spoken Arabic. They demonstrate understanding that Arabic has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of Arabic and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,Arabic,,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Arabic language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts, using letter conventions as appropriate.</p>
<p>Students imitate sound combinations and rhythms of spoken Arabic. They demonstrate understanding that Arabic has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Arabic and make comparisons between Arabic and English. They understand that the Arabic language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,Arabic,,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Arabic language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Arabic or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures, and conventions of letter position, to suit context. They sequence information and ideas, and use conventions appropriate to text type.</p>
<p>Students apply rules for pronunciation and intonation in spoken Arabic. They apply conventions of spelling and punctuation and use modelled structures, when creating and responding in Arabic. They compare language structures and features in Arabic and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Arabic,,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Arabic language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use Arabic to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary, sentence structures, and expressions to create texts.</p>
<p>Students apply the conventions of spoken Arabic to develop fluency. They demonstrate understanding that spoken, written and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of Arabic text, using metalanguage. They reflect on how the Arabic language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Arabic,,F–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in Arabic language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They apply and use complex sentences and structures to create and respond to spoken and written texts. They use a variety of tenses to sequence events and use language features to enhance meaning and cohesion.</p>
<p>Students incorporate the features and conventions of spoken Arabic to extend fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of Arabic texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Arabic, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,Arabic,,7–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Arabic language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions, and recognise familiar gestures, questions and instructions in exchanges. They recognise relationships between spoken and written forms. They locate and respond to information in texts and use non-verbal, visual and contextual cues to help make meaning. They respond in Arabic or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language and modelled sentence and grammatical structures to create texts, with conventions of letter position and vowel marks in writing.</p>
<p>Students approximate pronunciation and intonation in spoken Arabic. They demonstrate understanding that Arabic has conventions and rules for non-verbal, spoken and written communication. They comment on aspects of Arabic and English language structures and features, using metalanguage. They demonstrate awareness that the Arabic language is connected with culture and identity, and that this connection is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Arabic,,7–10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain Arabic language to exchange and compare ideas and experiences about their own and others’ personal worlds. They communicate using non-verbal, spoken and written language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in Arabic or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of spoken and written Arabic to create texts.</p>
<p>Students apply features and conventions of spoken Arabic to enhance fluency. They select and apply knowledge of language conventions, structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their own language use and cultural identity, and draw on their experience of learning Arabic, to discuss how this learning influences their ideas and ways of communicating.</p>"
Languages,Auslan,First-Language Learner Pathway,F-10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create Auslan texts, with support. They identify that Auslan and English are different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,Auslan,First-Language Learner Pathway,F-10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Auslan to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar signs including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.</p><p>Students recognise and use the parameters of signs. They demonstrate understanding that Auslan has conventions and rules for signs and features of language. They give examples of similarities and differences between some features of Auslan and English. They understand that language is connected with culture and identity, and notice how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Auslan,First-Language Learner Pathway,F-10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Auslan to initiate structured interactions to share information related to the classroom and their personal worlds. They participate in activities that involve planning and transacting. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use familiar and formulaic language and basic syntax, including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts appropriate to context.</p><p>Students use combinations of signs and demonstrate understanding that Auslan has language conventions and rules to create and make meaning. They identify patterns in Auslan and make comparisons between Auslan and English. They understand that Auslan is connected with cultural identity, and identify how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Auslan,First-Language Learner Pathway,F-10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Auslan that are related to experiences of their personal worlds. They collaborate in activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Auslan or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a range of signs, depicting signs (DSs), non-manual features (NMFs) and signing spaces. They sequence information and ideas, and use conventions appropriate to text type.</p>
<p>Students apply rules of signs, pace and signing space to develop fluency. They use modelled and formulaic structures when creating and responding in Auslan. They compare language structures and features in Auslan and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Auslan,First-Language Learner Pathway,F-10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Auslan in familiar and unfamiliar contexts related to a range of experiences and perspectives. They use Auslan to negotiate solutions and adjust language in response to others. They interpret and analyse information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages and in cultural contexts, by reorganising responses to suit context, purpose and audience. They select and use features of signing, structures and expressions, manipulating language to create texts.</p><p>Students apply the conventions of signing to enhance fluency. They demonstrate understanding that signed, visual and multimodal texts use different language conventions, structures and features to convey meaning. They explain structures and features of Auslan text, using metalanguage. They reflect on how Auslan language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Auslan,First-Language Learner Pathway,F-10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in Auslan related to diverse contexts. They interpret and respond to texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They apply and use complex structures and language devices to enhance meaning and cohesion.</p><p>Students apply features and conventions of Auslan and adjust signing to extend fluency. They demonstrate understanding of the conventions of texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of Auslan texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Auslan, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,Auslan,First-Language Learner Pathway,7-10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Auslan language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions in exchanges using familiar gestures, questions and instructions. They locate and respond to information in texts and use non-verbal, signed, visual and contextual cues to help make meaning. They respond in Auslan or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language, modelled grammatical structures, and familiar signs including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.</p>
<p>Students use the parameters of signs and demonstrate understanding that Auslan has conventions and rules for signed communication. They comment on aspects of Auslan and English language structures and features, using metalanguage. They demonstrate awareness that Auslan is connected with culture and identity, and that this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Auslan,First-Language Learner Pathway,7-10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain interactions in Auslan to exchange and compare experiences and ideas about their own and others’ personal worlds. They communicate using non-verbal, signed and visual language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in Auslan or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of Auslan, including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.</p>
<p>Students apply features and conventions of signing to enhance communication. They select and apply knowledge of language structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their use of Auslan and their own cultural identity to discuss how these influence their ideas and ways of communicating.</p>"
Languages,Auslan,Second-Language Learner Pathway,F-10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create Auslan texts, with support. They identify that Auslan and English are different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,Auslan,Second-Language Learner Pathway,F-10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Auslan to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar signs and modelled language, including some fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.</p>
<p>Students imitate the parameters of signs. They demonstrate understanding that Auslan has conventions and rules for signing. They give examples of similarities and differences between some features of Auslan and English. They understand that language is connected with culture and identity, and notice how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Auslan,Second-Language Learner Pathway,F-10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Auslan to initiate structured interactions to share information related to the classroom and their personal worlds. They use familiar language to participate in activities that involve planning. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax, including familiar fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.</p>
<p>Students use modelled combinations of signs and demonstrate understanding that Auslan has language conventions and rules to create and make meaning. They identify patterns in Auslan and make comparisons between Auslan and English. They understand that Auslan is connected with culture and identity, and identify how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Auslan,Second-Language Learner Pathway,F-10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Auslan that are related to their immediate environment. They collaborate in activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Auslan or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of signs, depicting signs (DSs), non-manual features (NMFs) and signing spaces. They sequence information and ideas, and use conventions appropriate to text type.</p>
<p>Students apply rules of signs, pace and signing space to develop fluency. They use modelled structures when creating and responding in Auslan. They compare language structures and features in Auslan and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Auslan,Second-Language Learner Pathway,F-10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Auslan in familiar and some unfamiliar contexts related to a range of interests and experiences. They use Auslan to negotiate solutions and adjust language in response to others. They interpret information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages and in cultural contexts, by reorganising responses to suit context, purpose and audience. They select and use features of signing structures and expressions to create texts.</p>
<p>Students apply the conventions of signing to enhance fluency. They demonstrate understanding that signed, visual and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of Auslan text, using metalanguage. They reflect on how language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Auslan,Second-Language Learner Pathway,F-10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in Auslan in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret and respond to texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They use complex structures to enhance meaning and cohesion.</p>
<p>Students apply features and conventions of Auslan and adjust signing to extend fluency. They demonstrate understanding of the conventions of texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of Auslan texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Auslan to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,Auslan,Second-Language Learner Pathway,7-10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Auslan language to interact and collaborate with others, and to share information and plan activities in familiar contexts. They respond to others’ contributions in exchanges using familiar gestures, questions and instructions. They locate and respond to information in texts and use non-verbal, signed, visual and contextual cues to help make meaning. They respond in Auslan or English, and demonstrate understanding of context, purpose and audience in texts. They use familiar language, modelled grammatical structures, and familiar signs including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.</p>
<p>Students use the parameters of signs and demonstrate understanding that Auslan has conventions and rules for signed communication. They comment on aspects of Auslan and English language structures and features, using metalanguage. They demonstrate awareness that Auslan is connected with culture and identity, and that this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Auslan,Second-Language Learner Pathway,7-10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and sustain interactions in Auslan to exchange and compare experiences and ideas about their own and others’ personal worlds. They communicate using non-verbal, signed and visual language to collaborate, plan and reflect on activities and events. They interpret and analyse information and ideas in texts and demonstrate understanding of different perspectives. They synthesise information and respond in Auslan or English, adjusting language to convey meaning and to suit context, purpose and audience. They use structures and features of Auslan, including fingerspelling (FS), lexical signs, depicting signs (DSs), non-manual features (NMFs) and signing space, to create texts.</p>
<p>Students apply features and conventions of signing to enhance communication. They select and apply knowledge of language structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their use of Auslan and their own cultural identity to discuss how these influence their ideas and ways of communicating.</p>"
Languages,Chinese,Background-Language Learner Pathway,F–10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create Chinese texts, with support. They identify that Chinese and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,Chinese,Background-Language Learner Pathway,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Chinese language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts. They recognise and use familiar characters and Pinyin to make words and sentences.</p>
<p>Students recognise and use the sounds, tones and rhythms of spoken Chinese. They demonstrate understanding that Chinese has rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between features of Chinese and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,Chinese,Background-Language Learner Pathway,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Chinese language to initiate interactions to share information and ideas related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use familiar characters, Pinyin and modelled language to create texts.</p>
<p>Students recognise and use sounds, tones, rhythms, syllables and intonation patterns of spoken Chinese. They demonstrate understanding that Chinese has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Chinese and make comparisons between Chinese and English. They understand that the Chinese language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,Chinese,Background-Language Learner Pathway,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Chinese language that are related to their immediate environment. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Chinese or English, adjusting their response to context, purpose and audience. They create texts, using characters with appropriate stroke order and radicals, vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.</p>
<p>Students apply rules for pronunciation and intonation in spoken Chinese. They apply conventions of script and punctuation, and use modelled structures, when creating and responding in Chinese. They compare language structures and features in Chinese and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Chinese,Background-Language Learner Pathway,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Chinese language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use Chinese to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary sentence structures, and expressions to create texts and apply Chinese script conventions in written texts.</p>
<p>Students apply the conventions of spoken Chinese to develop fluency. They demonstrate understanding that spoken, written and multimodal texts use different language conventions, structures and features to convey meaning. They comment on structures and features of Chinese text, using metalanguage. They reflect on how Chinese language, culture and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Chinese,Background-Language Learner Pathway,F–10 Sequence,Year 9 and 10,"<p>By the end of Year 10, students maintain and extend interactions in Chinese language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They enhance the overall meaning and cohesion of their spoken and written texts through the strategic use of language structures and features.</p>
<p>Students incorporate the features and conventions of spoken Chinese to extend fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of language structures and features to make and predict meaning. They support analysis of Chinese texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Chinese, to evaluate how this learning influences their ideas and ways of communicating.</p>"
Languages,Chinese,Background-Language and First-Language Learner Pathway,7-10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students use Chinese language to interact and collaborate with others, and to share information and plan activities in a range of contexts. They respond to others’ contributions, and use culturally-appropriate gestures, questions and instructions in exchanges. They understand relationships between spoken and written forms. They interpret non-verbal, visual and contextual cues and translate and analyse information in texts. They respond in Chinese or English, and demonstrate understanding of context, purpose and audience in texts. They manipulate language and grammatical structures and features to create spoken and written texts. They apply their knowledge of script conventions in written texts.</p>
<p>Students apply tones, pronunciation and intonation authentically. They use Chinese conventions and rules for non-verbal, spoken and written communication. They compare aspects of Chinese and English language structures and features, using metalanguage. They reflect on and explain that the Chinese language is connected with culture and identity, and that this connection is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Chinese,Background-Language and First-Language Learner Pathway,7-10 Sequence,Years 9 and 10,"<p>By the end of Year 10, students initiate and extend interactions in Chinese language to exchange and compare ideas, opinions and experiences about their own and others’ personal worlds. They incorporate non-verbal, spoken and written language to collaborate, plan and reflect on activities and events. They evaluate and synthesise information and ideas in texts and demonstrate understanding of different perspectives. They interpret, translate and analyse information, and respond in Chinese or English, adjusting language to convey meaning. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They enhance the cohesion of their spoken and written texts through the strategic use of language devices and structures.</p>
<p>Students understand and apply nuances of spoken language to extend fluency. They select and apply knowledge of language conventions, structures and features to interact, make meaning and create texts. They support discussion of structures and features of texts, using metalanguage. They reflect on their own language use and cultural identity, and draw on their experience of learning Chinese, to discuss how this learning influences their ideas and ways of communicating.</p>"
Languages,Chinese,Second Language Learner Pathway,F–10 Sequence,Foundation Year,"By the end of the Foundation year, students use play and imagination to interact and create Chinese texts, with support. They identify that Chinese and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
Languages,Chinese,Second Language Learner Pathway,F–10 Sequence,Years 1 and 2,"<p>By the end of Year 2, students use Chinese language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create text. They copy some familiar characters and Pinyin.</p><p>Students imitate the sounds, tones and rhythms of Chinese. They demonstrate understanding that Chinese has rules for non-verbal communication, pronunciation and writing, and that characters are a form of writing and Pinyin reflects the sounds of spoken Chinese. They give examples of similarities and differences between some features of Chinese and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s).</p>"
Languages,Chinese,Second Language Learner Pathway,F–10 Sequence,Years 3 and 4,"<p>By the end of Year 4, students use Chinese language to initiate structured interactions to share information related to the classroom and their personal world. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts. They use familiar characters appropriate to context and make connections with the spelling and tone marks of Pinyin.</p><p>Students imitate sounds, tones, pronunciation, and intonation patterns of Chinese language. They demonstrate understanding that Chinese has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in Chinese and make comparisons between Chinese and English. They understand that the Chinese language is connected with culture, and identify how this is reflected in their own language(s) and culture(s).</p>"
Languages,Chinese,Second Language Learner Pathway,F–10 Sequence,Years 5 and 6,"<p>By the end of Year 6, students initiate and use strategies to maintain interactions in Chinese language that are related to their immediate environment. They use key features of pronunciation and intonation, recognising stress and phrasing in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas, and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Chinese or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type. They use familiar characters appropriate to context and Pinyin.</p><p>Students apply rules for pronunciation and intonation, writing, character formation, punctuation and modelled structures, when creating and responding in Chinese. They compare language structures and features in Chinese and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity.</p>"
Languages,Chinese,Second Language Learner Pathway,F–10 Sequence,Years 7 and 8,"<p>By the end of Year 8, students initiate and maintain interactions in Chinese language in familiar and some unfamiliar contexts related to a range of interests and experiences. They use Chinese to collaborate and problem-solve, and adjust language in response to others. They interpret information, ideas and opinions in texts. They demonstrate understanding of similarities and differences between languages, in both familiar and some unfamiliar cultural contexts, by adjusting and reorganising responses. They select and use vocabulary, sentence structures, expressions and levels of formality, to create texts. They select and use characters appropriate to context and begin to use Pinyin to transcribe spoken words and short modelled sentences.</p><p>Students apply the conventions of spoken Chinese, including differences in sounds and tones, to develop fluency and demonstrate understanding of writing system features and the role and function of character components. They demonstrate understanding that spoken, written and multimodal texts use different conventions, features and linguistic structures to convey meaning. They comment on structures and features of Chinese text, using metalanguage. They reflect on how the Chinese language, culture(s) and identity are interconnected, and compare this with their own language(s), culture(s) and identity.</p>"
Languages,Chinese,Second Language Learner Pathway,F–10 Sequence,Year 9 and 10,"<p>By the end of Year 10, students contribute to and extend interactions in Chinese language in increasingly unfamiliar contexts related to a wide range of interests and issues. They interpret texts by evaluating and synthesising information, ideas and perspectives. They show understanding of how features of language can be used to influence audience response. They create texts, selecting and manipulating language for a range of contexts, purposes and audiences. They apply and use complex sentences and structures to create and respond to spoken and written texts. They use a variety of tenses to sequence events and use language devices to enhance meaning and cohesion. They select and use a variety of characters appropriate to context, using Pinyin to transcribe spoken texts.</p><p>Students incorporate features, conventions and phrasing patterns of spoken Chinese including variations in intonation, rhythm and sounds, to enhance fluency. They demonstrate understanding of the conventions of spoken and written texts and the connections between them. They apply knowledge of grammar and character form and function, and language structures and features, to make and predict meaning. They support analysis of Chinese texts, using metalanguage. They reflect on their own cultural perspectives and identity, and draw on their experience of learning Chinese, to evaluate how this learning influences their ideas and ways of communicating.</p>"
